nr,pre,match-2,match-1,match,match+1,match+2,post,category,Givenness,Factuality,Type,Focus,id,display_as,party_x,constituency_x,mnis_id,date,time,colnum,speech_class,major_heading,minor_heading,oral_heading,year,hansard_membership_id,speakerid,person_id,speakername,url,name,party_y,constituency_y,year_of_birth,gender,MP,Filename,All_tokens,Word_tokens
172,"  are two kinds of damages. The first is for pain, suffering and loss of amenity; and the second is for special damages to cover such things as the need for domestic help, taxis, dressings and ",so ,on. ,It ,is ,the ,"former that will usually be the larger amount and the subject of considerable debate. Those special damages — the second class to which I referred — can be derived from medical evidence, actual costs incurred and life ",c,part.giv,nonfact,IP,NP,19900116a269_0,Roger Freeman,Conservative,Kettering,836,16-01-90,23:23:00,269,Speech,Radiation Overdoses (Compensation),,,1990,3397,uk.org.publicwhip/member/15084,,The Parliamentary Under-Secretary of State for Health (Mr. Roger Freeman),,Roger Freeman,Conservative,Kettering,1942,male,RogerFreeman,19900116a269_0,1420,1300
288," I put it to my right hon. Friend, who seems more hawkish than ","I, ",that ,it ,is ,not ,his life that would be at risk but the lives of British service men. What have we to say to the young men who will be expected to put their lives on the line?,c,new,fact,IP,NP,19900906a806_7,Tony Marlow,Conservative,Northampton North,913,6/9/1990,19:46:00,806,Speech,PRAYERS,The Gulf,,1990,8445,uk.org.publicwhip/member/17984,,Mr. Marlow,,Tony Marlow,Conservative,Northampton North,1940,male,TonyMarlow,19900906a806_7,57,52
291,"  the taxation on the profits in the future. So it is not what you do — it is how you do it. One of the most important areas of public expenditure, recognised by both sides of ",the ,House — ,it ,is ,just ,the philosophy with which we approach it that is different — is the health service. Our approach is that we want to get more care for the cash. However much money we can make available — and ,c,new,nonfact,canonical,NP,19910515a363_0,Tony Marlow,Conservative,Northampton North,913,15-05-91,21:11:00,363,Speech,BILL PRESENTED,Public Expenditure,,1991,8445,uk.org.publicwhip/member/17984,,Mr. Tony Marlow,,Tony Marlow,Conservative,Northampton North,1940,male,TonyMarlow,19910515a363_0,1036,934
314,"  I am not in a position to resolve those matters conclusively this afternoon, but there is a strong case for transitional arrangements in ",the ,Bill. ,It ,is ,their ,shape that is still the subject of further discussion.,c,new,nonfact,IP,NP,19900508a67_0,David Mellor,Conservative,Putney,1134,33001,0.760416667,67,Speech,New Clause 33,NETWORKING,,1990,9149,uk.org.publicwhip/member/32856,,Mr. Mellor,,David Mellor,Conservative,Putney,1949,male,DavidMellor,19900508a67_0,1525,1401
322,  is a sufficient deterrent. The point about clauses 165 and 166 is that this apparatus is not available in the case of services originating outside ,the ,jurisdiction. ,It ,is ,for ,"those services that they are needed. In the light of that, and knowing that the hon. Gentleman has just been warming up his ",c,act.giv,fact,canonical,adv,19900508a153_4,David Mellor,Conservative,Putney,1134,33001,0.989583333,153,Speech,New Clause 31,PROSCRIPTION OF NON-DOMESTIC SATELLITE SERVICES (No. 2),,1990,9149,uk.org.publicwhip/member/32856,,Mr. Mellor,,David Mellor,Conservative,Putney,1949,male,DavidMellor,19900508a153_4,284,255
324,"  word ""persistently"". I am sure that I will have the support of all hon. Members who have studied the matter when I say ",categorically ,that ,it ,is ,the ,requirement for persistence that has prevented the Sexual Offences Act 1985 from being effectively enforced against people who have plainly committed acts of kerb-,c,inact.giv,fact,canonical,NP,19900511a543_0,David Mellor,Conservative,Putney,1134,33004,0.479166667,543,Speech,Clause 1,Proceedings.,,1990,9149,uk.org.publicwhip/member/32856,,Mr. Mellor,,David Mellor,Conservative,Putney,1949,male,DavidMellor,19900511a543_0,667,598
338, . Lady's problem is more fundamental. She seems to think that the only way to assist manufacturers is to spend Government money on ,"them, ",when ,it ,is ,the ,framework in which manufacturing industry has to operate which is the key. It was the improvement in that framework which led to massive ,c,act.giv,fact,canonical,NP,19901206a437_0,David Mellor,Conservative,Putney,1134,33213,,437,Speech,Oral Answers to Questions â€” NATIONAL FINANCE,Departments (Expenditure),,1990,9149,uk.org.publicwhip/member/32856,,Mr. Mellor,,David Mellor,Conservative,Putney,1949,male,DavidMellor,19901206a437_0,128,120
339,"  assist manufacturers is to spend Government money on them, when it is the framework in which manufacturing industry has to operate which is ",the ,key. ,It ,was ,the ,"improvement in that framework which led to massive increases in productivity and manufacturing output in the 1980s, and the same improvement will ensure ",c,act.giv,fact,canonical,NP,19901206a437_0,David Mellor,Conservative,Putney,1134,33213,,437,Speech,Oral Answers to Questions â€” NATIONAL FINANCE,Departments (Expenditure),,1990,9149,uk.org.publicwhip/member/32856,,Mr. Mellor,,David Mellor,Conservative,Putney,1949,male,DavidMellor,19901206a437_0,128,120
346,  and targeted where spending is needed most â€” and the cloud-cuckoo-land ambitions and total incoherence of the Opposition's plans is striking ,and ,dramatic. ,It ,is ,on ,that basis that I commend these reports to the House.,c,new,fact,canonical,adv,19910515a299_2,David Mellor,Conservative,Putney,1134,33373,0.65625,299,Speech,BILL PRESENTED,Public Expenditure,,1991,9149,uk.org.publicwhip/member/32856,,Mr. Mellor,,David Mellor,Conservative,Putney,1949,male,DavidMellor,19910515a299_2,159,145
353,  allowed him to retain the resources to make his own investment decisions rather than distorting matters by a system of capital allowances. Under ,our ,regime ,it ,is ,the ,"quality of the investment that matters and not the amount, which is the case under a regime based on capital allowances. Having properly ",c,act.giv,fact,canonical,NP,19910715a99_5,David Mellor,Conservative,Putney,1134,33434,0.864583333,99,Speech,New Clause 9,CAPITAL ALLOWANCES,,1991,9149,uk.org.publicwhip/member/32856,,Mr. Mellor,,David Mellor,Conservative,Putney,1949,male,DavidMellor,19910715a99_5,199,180
357,"  limitation, he said: `That requires a very different kind of person.' It is interesting that, when Labour talks down what is happening in ",this ,"country, ",it ,is ,not ,confidence that is talking but fear. Labour Members are afraid that the election victory that they have been dreaming of will be snatched ,c,new,nonfact,IP,NP,19910724a1252_6,David Mellor,Conservative,Putney,1134,33443,0.895138889,1252,Speech,Opposition Day,Government Economic Policies,,1991,9149,uk.org.publicwhip/member/32856,,Mr. Mellor,,David Mellor,Conservative,Putney,1949,male,DavidMellor,19910724a1252_6,959,868
359,  the Labour party has failed to answer the charge is that it is thinking up new ones to levy. There has been no ,satisfactory ,answer. ,It ,is ,not ,"only Conservative Members who are getting on to that point. What about Professor Rowthorn, not a well-known Conservative, who when asked â€”  [HON. ",c,act.giv,nonfact,canonical,NP,19910724a1255_1,David Mellor,Conservative,Putney,1134,33443,0.895138889,1255,Speech,Opposition Day,Government Economic Policies,,1991,9149,uk.org.publicwhip/member/32856,,Mr. Mellor,,David Mellor,Conservative,Putney,1949,male,DavidMellor,19910724a1255_1,573,489
365,"  the other interest group; the document will make clear the order of priorities, and will begin to explain how the expenditure will be ",paid ,for. ,It ,is ,not ,only the Conservative party that has asked for such an explanation; Labour supporters and sympathisers have done so as well. What about Mr. ,c,act.giv,fact,canonical,NP,19920122a403_0,David Mellor,Conservative,Putney,1134,33625,0.894444444,403,Speech,Autumn Statement,,,1992,9149,uk.org.publicwhip/member/32856,,The Chief Secretary to the Treasury (Mr. David Mellor),,David Mellor,Conservative,Putney,1949,male,DavidMellor,19920122a403_0,566,496
368,  survey in which well over half the hon. Lady's colleagues who were consulted said that the basic rate of income tax should ,go ,up? ,It ,is ,not ,"our credibility on tax matters that needs to be proved, but the Labour party's. The Labour party is not trusted on tax ",c,new,nonfact,IP,NP,19920122a406_3,David Mellor,Conservative,Putney,1134,33625,0.894444444,406,Speech,Autumn Statement,,,1992,9149,uk.org.publicwhip/member/32856,,Mr. Mellor,,David Mellor,Conservative,Putney,1949,male,DavidMellor,19920122a406_3,109,102
397,"  have my regrets, this is not a sad moment for me. After what my family and I have been through over the past ",two ,"months, ",it ,is ,with ,almost a sense of relief that I make this statement. There were times during that period when one wondered whether one was living ,c,act.giv,fact,performative,adv,19920925a139_7,David Mellor,Conservative,Putney,1134,33872,0.459027778,139,Speech,PRAYERS,Personal Statement,,1992,9149,uk.org.publicwhip/member/32857,,Mr. David Mellor,,David Mellor,Conservative,Putney,1949,male,DavidMellor,19920925a139_7,1768,1625
404,"  very much fairer, will make local councils accountable to their electorate and will demonstrate which are the extravagant authorities and which are the ",careful ,spenders. ,It ,is ,because ,Labour authorities are extravagant that Labour Members oppose the community charge.,c,part.giv,nonfact,canonical,clause,19900118a405_5,Margaret Thatcher,Conservative,Finchley,953,32891,,405,Speech,Oral Answers to Questions â€” PRIME MINISTER,Engagements,,1990,3750,uk.org.publicwhip/member/21302,,The Prime Minister,,Margaret Thatcher,Conservative,Finchley,1925,female,MargaretThatcher,19900118a405_5,79,69
406,  the surrounding areas and companies would benefit. That is now happening. The Opposition accepted and supported the dock labour scheme and opposed its ,"abolition, ",but ,it ,is ,because ,we abolished it that there is now extra prosperity.,c,act.giv,fact,canonical,clause,19900118a406_6,Margaret Thatcher,Conservative,Finchley,953,32891,,406,Speech,Oral Answers to Questions â€” PRIME MINISTER,Engagements,,1990,3750,uk.org.publicwhip/member/21302,,The Prime Minister,,Margaret Thatcher,Conservative,Finchley,1925,female,MargaretThatcher,19900118a406_6,82,75
414,"  the ambulance men work in the National Health Service settled at 6Â·5 and 6Â·8 per cent. Since then, the ambulance men have been offered an ","increase, ",so ,it ,is ,not ,"the management which has not moved, but the ambulance men themselves.",c,act.giv,fact,canonical,NP,19900130a158_3,Margaret Thatcher,Conservative,Finchley,953,32903,,158,Speech,Oral Answers to Questions â€” PRIME MINISTER,Engagements,,1990,3750,uk.org.publicwhip/member/21302,,The Prime Minister,,Margaret Thatcher,Conservative,Finchley,1925,female,MargaretThatcher,19900130a158_3,88,78
429, I note the inherent contradiction between my hon. Friend's first sentence and his second. An indicative budget is not a rigid ,"budget, ",and ,it ,is ,precisely ,for that reason that my right hon. and learned Friend has stressed that doctors will receive the amount of money necessary to prescribe ,c,new,fact,IP,adv,19900320a1007_2,Margaret Thatcher,Conservative,Finchley,953,32952,,1007,Speech,Oral Answers to Questions â€” PRIME MINISTER,Engagements,,1990,3750,uk.org.publicwhip/member/21302,,The Prime Minister,,Margaret Thatcher,Conservative,Finchley,1925,female,MargaretThatcher,19900320a1007_2,63,58
440,"  agree on political co-operation does not mean that we relinquish our sovereign right, unilaterally or bilaterally, to make our own statements. I ",thought ,that ,it ,was ,rather ,"on my side that they were giving practical evidence that they did not intend to give up their sovereignty unilaterally or bilaterally, although ",c,act.giv,nonfact,canonical,adv,19900501a904_0,Margaret Thatcher,Conservative,Finchley,953,32994,0.65625,904,Speech,European Council (Dublin),,,1990,3750,uk.org.publicwhip/member/21302,,The Prime Minister,,Margaret Thatcher,Conservative,Finchley,1925,female,MargaretThatcher,19900501a904_0,637,584
447, I agree with my hon. ,Friend ,that ,it ,is ,the ,"private sector which will lead the way, certainly in some of the matters connected with eastern Europe. The limiting factor is that when ",c,act.giv,nonfact,canonical,NP,19900501a917_4,Margaret Thatcher,Conservative,Finchley,953,32994,0.65625,917,Speech,European Council (Dublin),,,1990,3750,uk.org.publicwhip/member/21302,,The Prime Minister,,Margaret Thatcher,Conservative,Finchley,1925,female,MargaretThatcher,19900501a917_4,127,115
448,"  Labour Government to which he was extremely hostile had left them, we should by now have paid Â£7Â·5 billion more to the Community than ",we ,have. ,It ,is ,because ,of the actions of this Government that we have paid Â£7Â·5 billion less. So the British people are Â£7Â·5 billion better off under a Conservative ,c,act.giv,nonfact,canonical,clause,19900501a918_3,Margaret Thatcher,Conservative,Finchley,953,32994,0.65625,918,Speech,European Council (Dublin),,,1990,3750,uk.org.publicwhip/member/21302,,The Prime Minister,,Margaret Thatcher,Conservative,Finchley,1925,female,MargaretThatcher,19900501a918_3,71,67
450,,, Because ,it, is ,local," councils which set the community charge â€” I trust that the right hon. Gentleman does not argue with that â€” and, as he knows, the ",c,inact.giv,fact,canonical,NP,19900503a1204_8,Margaret Thatcher,Conservative,,,,,,,,,,,,,,,,,,,1925,female,MargaretThatcher,19900503a1204_8,113,100
451, I gladly comply. My hon. Friend will know ,the ,answer. ,It ,is ,Conservative ,"councils which give good value for money, cost less and give excellent services. It is Labour councils which cost people more, offer poorer ",c,inact.giv,nonfact,canonical,NP,19900503a1206_9,Margaret Thatcher,Conservative,Finchley,953,32996,,1206,Speech,Oral Answers to Questions â€” PRIME MINISTER,Engagements,,1990,3750,uk.org.publicwhip/member/21302,,The Prime Minister,,Margaret Thatcher,Conservative,Finchley,1925,female,MargaretThatcher,19900503a1206_9,65,57
452,"  gladly comply. My hon. Friend will know the answer. It is Conservative councils which give good value for money, cost less and give ",excellent ,services. ,It ,is ,Labour ,"councils which cost people more, offer poorer services and often spend money on things that people do not want. The object lesson is ",c,act.giv,nonfact,canonical,NP,19900503a1206_9,Margaret Thatcher,Conservative,Finchley,953,32996,,1206,Speech,Oral Answers to Questions â€” PRIME MINISTER,Engagements,,1990,3750,uk.org.publicwhip/member/21302,,The Prime Minister,,Margaret Thatcher,Conservative,Finchley,1925,female,MargaretThatcher,19900503a1206_9,65,57
453,"  do everything possible to bring about the release of the hostages, about whom we are very concerned. We note that America has done ",no ,deals â€” ,it ,is ,through ,quiet contacts that her hostages have been released.,c,act.giv,fact,canonical,adv,19900503a1208_7,Margaret Thatcher,Conservative,Finchley,953,32996,,1208,Speech,Oral Answers to Questions â€” PRIME MINISTER,Engagements,,1990,3750,uk.org.publicwhip/member/21302,,The Prime Minister,,Margaret Thatcher,Conservative,Finchley,1925,female,MargaretThatcher,19900503a1208_7,108,96
454," Winston Churchill was absolutely staunch that we should all be united in defence of freedom, and that is the North Atlantic ",Treaty ,Organisation. ,It ,is ,NATO ,which has kept our freedom. We are a prominent member of the European Community and leading the field in bringing about the single ,c,act.giv,fact,canonical,NP,19900508a16_9,Margaret Thatcher,Conservative,Finchley,953,33001,,16,Speech,Oral Answers to Questions â€” PRIME MINISTER,Engagements,,1990,3750,uk.org.publicwhip/member/21302,,The Prime Minister,,Margaret Thatcher,Conservative,Finchley,1925,female,MargaretThatcher,19900508a16_9,88,82
470,"  the strategic defence initiative that, finally, the Soviet Union was made to realise that it could never win on the latest technology of ",military ,machines. ,It ,was ,that ,staunchness that brought the Soviets to that realisation. It would be far better to try to improve the Soviet economic performance by a ,c,act.giv,fact,canonical,NP,19900612a151_0,Margaret Thatcher,Conservative,Finchley,953,33036,0.645833333,151,Speech,USSR (Prime Minister's Visit),,,1990,3750,uk.org.publicwhip/member/21302,,The Prime Minister,,Margaret Thatcher,Conservative,Finchley,1925,female,MargaretThatcher,19900612a151_0,214,199
475," Yes, I agree with my ",hon. ,Friend. ,It ,is ,not ,"the identification of the owner which has been the problem, but to make certain that owners control their dogs properly. Yesterday further significant ",c,inact.giv,nonfact,canonical,NP,19900628a482_7,Margaret Thatcher,Conservative,Finchley,953,33052,,482,Speech,Oral Answers to Questions â€” PRIME MINISTER,Engagements,,1990,3750,uk.org.publicwhip/member/21302,,The Prime Minister,,Margaret Thatcher,Conservative,Finchley,1925,female,MargaretThatcher,19900628a482_7,93,82
508,  if they had come along with the rest instead of sticking out for their own farmers against the good of the EC as ,a ,whole. ,It ,was ,those ,"countries which were isolated on that most urgent matter. As for investment, Wales â€” like the rest of the United Kingdom â€” has benefited enormously ",c,act.giv,fact,IP,NP,19901030a881_2,Margaret Thatcher,Conservative,Finchley,953,33176,0.645833333,881,Speech,European Council (Rome),,,1990,3750,uk.org.publicwhip/member/21302,,The Prime Minister,,Margaret Thatcher,Conservative,Finchley,1925,female,MargaretThatcher,19901030a881_2,166,152
509,"  eight votes and it was made very clear then that we would not surrender our national identity, that it was a matter of ",co-,operation. ,It ,was ,on ,the strength of that that many people went in. I am afraid that it would be quite different if we went for a ,c,new,fact,IP,adv,19901030a882_0,Margaret Thatcher,Conservative,Finchley,953,33176,0.645833333,882,Speech,European Council (Rome),,,1990,3750,uk.org.publicwhip/member/21302,,The Prime Minister,,Margaret Thatcher,Conservative,Finchley,1925,female,MargaretThatcher,19901030a882_0,225,210
517,  making it quite clear that Iraq must leave Kuwait and that the legitimate Government and the normal way of life in Kuwait must ,be ,restored. ,It ,is ,not ,"the United Nations that can put its resolutions into effect, but the separate countries â€” those countries that have kept their armed forces fully ",c,new,fact,IP,NP,19901115a707_5,Margaret Thatcher,Conservative,Finchley,953,33192,,707,Speech,Oral Answers to Questions â€” PRIME MINISTER,Engagements,,1990,3750,uk.org.publicwhip/member/21302,,The Prime Minister,,Margaret Thatcher,Conservative,Finchley,1925,female,MargaretThatcher,19901115a707_5,87,81
524,"  for the crime of claiming their basic human rights. There was no significant increase in travel. The Brezhnev doctrine continued to apply, and ",so ,on. ,It ,was ,not ,"until President Gorbachev came to power that the Helsinki accords really began to have possibilities. It is also because some countries, especially the ",c,new,fact,IP,adv,19901121a297_5,Margaret Thatcher,Conservative,Finchley,953,33198,0.645833333,297,Speech,CSCE Summit,,,1990,3750,uk.org.publicwhip/member/21302,,The Prime Minister,,Margaret Thatcher,Conservative,Finchley,1925,female,MargaretThatcher,19901121a297_5,215,195
