nr,pre,match-2,match-1,match,match+1,match+2,post,master_category,notes,Givenness,Factuality,Type,Focus,id,title,n_words,n_tokens,n_w,n_c,n_s,publication_date,text_type,context,respondent_age,respondent_class,respondent_sex,interaction_type,region,author_age,author_domicile,author_sex,author_type,audience_age,domain,difficulty,medium,publication_place,sampling_type,circulation,audience_sex,availability,mode,derived_type,genre,cat_annotator1,cat_annotator2,decision
166,"  the abortion started to work and she lost the baby. He came back but he forgave her. He was ver , you know he was really nice about it. He said, Well er, you know, it's just that, I mean with nature being what it is you see. She wasn't a bad wife or anything ",like ,"that, ",it ,was ,just ,"that she'd met this man at work, where she worked, they both worked at a dry cleaning place. And er but of course she did lose the baby. She'd been trying to get rid of it and then suddenly it worked and she lost the baby. So most of the people who were having ",c,"(arguably new, arguably part.given, to the extent that 'pregnant with another man' implies having met that man. The just is 'adv', though not adverbial in a prototypical sense of adding time, space, manner or reason. Rather it's a type of focus particle, here narrowing down the applicability of something (in this case, how 'bad' the woman was)). ",part.giv,fact,IP,adv,FXX,Nottingham Oral History Project: interview. Sample containing about 9389 words speech recorded in leisure context,9665,10974,9742,1142,599,1985-1993,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,n,n,
167,"  pregnant, her husband wasn't away but she'd got how many, five, four children, she'd lost three children and she'd got, then she had four, and then she found herself pregnant again. And er half heatedly she decided she ought, she couldn't have any more children you know she'd, I don'",t ,think ,it ,was ,money ,"so much that she thought she'd got enough and somebody told her about this Slippery Elm, well you could get a Slippery Elm drink, you know you know these milky foods if you've got a poor tummy, that that can, er  she bought a tin of this Slippery Elm drink, and she drunk gallons ",c,(though blended with material from the matrix clause: I don't think so much that it was money that she thought she'd got enough),part.giv,nonfact,IP,NP,FXX,Nottingham Oral History Project: interview. Sample containing about 9389 words speech recorded in leisure context,9665,10974,9742,1142,599,1985-1993,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,u,n,n
168," , I'm I'm wondering whether she would be doing this for money or was she be doing it because she really cared about people . Oh yes, money. Oh you had to pay her, obviously, mm, yeah, did it for money. They all do, don't do these things for love, do they? No. Was it ",always ,"women, ",It ,was ,a ,"woman that it was a woman that did it. That was a woman. Oh I didn't know of any other, only knew the one. But she was well known, whe was well known all over . Yes she was. My friend went to her, she didn't get rid. No she went and had the abortion ",c,"(only the second 'it was' is actually a cleft, but the two are considered one match because of the regex.)",act.giv,fact,canonical,NP,FXX,Nottingham Oral History Project: interview. Sample containing about 9389 words speech recorded in leisure context,9665,10974,9742,1142,599,1985-1993,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,
180,"  conference. And er it was real great event, and of course Moseley was to speak in there. On the committee of the I L P at that time, and John , and then er and then an MP from , er Birmingham, Fred . One of one of one of the most charming speakers I ever heard, he was. ",And ,er ,it ,was ,at ,that time that the Independent Labour Party left the I the Labour Party. You see the majority er er at least half the er Labour MPs also was in membership with the I L P. But when the I L P wanted to lay down more militant lines the Labour Party wanted to throw them out ,c,"(only the fact that the ILP did something at a conference is given, not the fact that this act was leavin the LP.)",part.giv,fact,IP,adv,FYH,Nottinghamshire Oral History Project: talk. Sample containing about 14372 words speech recorded in leisure context,14661,16616,14778,1631,813,1985-1993,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,
185,"  down there, but she originates from Derbyshire,. And w er  did sh you said she got some work, what what job did she do then to help? Erm, mostly of a domestic nature. And you were still working in the butchers' at this time? That's right. That's right. Now, er if we could come ",on ,"now, ",it ,was ,in ,"nineteen thirty six that you went to Spain? Well, it was thirty seven. Thirty seven was it ? Yeah. Erm,now can you tell me about how you how you decided to actually, you know why you decided to actually go to Spain  in the first place? Well er you see, the b the the the political ",c,"(factuality is overriden by the interrogative nature of the sentence. This also means that the information is no longer presupposed, rather it is asked for. But neither is it a canonical cleft.)",new,other,other,adv,FYJ,Nottinghamshire Oral History Project: talk. Sample containing about 11492 words speech recorded in leisure context,11573,13325,11670,1568,732,1985-1993,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,
186," . Because they'd got a tremendous struggle on, they'd got a tremendous struggle on, they were struggling against tremendous odds,they were struggling against er er all sorts of er er of er of trickery, that er was being conducted by quite a quite a few of the er quite a few of the major ",powers. ,And ,it ,was ,this ,"background you see that er that er th th that gave me at least the need for to to play some some part in  Mm. helping along the struggle against er er against fascism. Now did you go with friends? Did you go with you know your friends and comrades at the time? Well, I er ",c,"(the struggle is mentioned in the preceding sentence, but not that it is also the speaker's struggle - though that is implied earlier on.)",inact.giv,fact,canonical,NP,FYJ,Nottinghamshire Oral History Project: talk. Sample containing about 11492 words speech recorded in leisure context,11573,13325,11670,1568,732,1985-1993,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,
187,"  is it? of it was soup. Most of it , Was it? most of it was soup. I was ever so sure that er that that  there was a goodly number of er er er well there was a qu quite a substantial fall in the in the in the donkey population, er  . er in Spain, because ",we ,reckoned ,it ,was ,only ,"donkey that went in that went  into the er burro as they call it , went into the went into the soup, you know with the beans and er er er various types of lentils and so on. And er the bread. The bread wasn't bad, the bread wasn't bad. Did you ever get any ",c,EMPTY,act.giv,fact,canonical,NP,FYJ,Nottinghamshire Oral History Project: talk. Sample containing about 11492 words speech recorded in leisure context,11573,13325,11670,1568,732,1985-1993,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,
188,"  er they did indeed even have tanks across this side. Er  and when you ain't got any tanks,, and he's got some tanks, your your your situation isn't it's it's not very it's not very healthy. They not only had tanks, they had er they had aircraft. In fact, in ","fact,",tt ,it ,was ,a ,"regular  army division er from Italy that was doing this job. And so you as a sort of er volunteer army didn't have a lot of Well we you didn't have a lot of chance in these circumstances, in these circumstances when they when they possessed every every piece of modern equipment,or equipment ",c,(this job = the destroying of a bridge referred to earlier),inact.giv,fact,canonical,NP,FYJ,Nottinghamshire Oral History Project: talk. Sample containing about 11492 words speech recorded in leisure context,11573,13325,11670,1568,732,1985-1993,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,
192," . Yeah. Or the pet trade. Yeah. Er which it is. Mhm. But way back er there wasn't such a thing as a pet shop. Not as you know it. They were corn shops, which is what this was. Er that's like I say, chickens, pigeons, and various other animals, obviously rabbits, and dogs and ",cats. ,And ,it ,was ,the ,"corn shop that started selling the dog and cat biscuits. Of which there weren't too many. I think there were sufficient but there weren't too many. Er well through progression, through whatever people giving up chickens and pigeons and all that sort of thing. Oh and in case of this particular area, not being ",c,EMPTY,inact.giv,fact,canonical,NP,FYM,Nottinghamshire Oral History Project: interview. Sample containing about 5754 words speech recorded in leisure context,5900,6935,5967,820,682,1985-1993,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,
193,"  looked round the shop erm  is it you specialize in is erm fish Ah I see what you mean yes .   Yes. Ah well that was when my son came in the business . Yes. Because prior to that we hadn't sold fish as such. Goldfish yes, and that s a few cold water fish but nothing ",much. ,And ,it ,was ,he ,"that er started the er the aquatic side. And er eventually when we got the ne purchased the next door premises, we decided to turn that entirely into aquatic. Mhm. And er what we term, the front shop, the main shop if you like, that's still the pet shop. And er the next door shop ",c,EMPTY,inact.giv,fact,canonical,NP,FYM,Nottinghamshire Oral History Project: interview. Sample containing about 5754 words speech recorded in leisure context,5900,6935,5967,820,682,1985-1993,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,
194," . And er eventually when we got the ne purchased the next door premises, we decided to turn that entirely into aquatic. Mhm. And er what we term, the front shop, the main shop if you like, that's still the pet shop. And er the next door shop is the aquatic where all the aquatics are. ",Mhm. ,But ,it ,was ,he ,"that started the aquatic trade. Er it would be about nineteen seventy perhaps . Mhm. One thing that interests me erm is you know, a lot of the shops haven't survived. You know a lot of the erm shops that have been here for many years Mhm. eventually disappeared from  for various reasons. Mm. What do ",c,EMPTY,inact.giv,fact,canonical,NP,FYM,Nottinghamshire Oral History Project: interview. Sample containing about 5754 words speech recorded in leisure context,5900,6935,5967,820,682,1985-1993,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,
196,"  was twelve I was baptized, which is the equivalent really of being confirmed. I was a Sunday School teacher erm when I was in my secondary school and I wondered what God would want me to do with my life when I left school and I thought maybe he wants me to be a missionary and ",I ,thought ,it ,was ,only ,"teachers and doctors that could be missionaries  I was wrong wasn't I? But that's what I thought, so I thought I'll try and be a doctor. So I did my O levels and my A levels and I then went to the London Hospital, which is in Whitechapel, from the age of eighteen ",c,EMPTY,part.giv,un,canonical,NP,FYP,Mothers' Union general discussion. Sample containing about 7443 words speech recorded in leisure context,7638,8315,7678,580,350,1985-1993,spoken_context,leisure,---,---,---,dialogue,south,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:speech:unscripted,c,c,
198,"  can remember those sort of things, what we used to have to do. But er  it was only u until I left the school cos I was only a matter of eight when I left that school so er I wasn't in a it wasn't in any progressive sort of style then I mean ",we ,wer ,it ,was ,more ,"rudiments of education that we were taught and er What what where did you move to when you moved from that school ? We moved from there to Gedling  And why was that? We moved Dad came to Gedling pit. By the way they they sank Gedling pit, they cut the first sod the year I was ",c,EMPTY,act.giv,un,IP,NP,FY1,Nottingham Oral History Project: interview. Sample containing about 11012 words speech recorded in leisure context,11157,12487,11228,1172,715,1985-1993,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,e,c
207,"  those days, they called it a rig out, new rig out in those days. Might get a pair of shoes and a two piece  coat and trousers you see, but invariably your school attire was a jersey and er a pair of trousers. And er never shoes they were always boots, didn't have sort of ",half ,shoes ,it ,was ,always ,a pair of boots that you had. And er stockings and er  You ha you wore stockings then ? Wore stockings that's right yes you wore stockings. Erm and I I as far as I can remember I think such things as underwear were unknown. You know a pair of pants and vest. You'd wear ,c,EMPTY,act.giv,un,canonical,NP,FY5,Nottingham Oral History Project: interview. Sample containing about 17786 words speech recorded in leisure context,17892,20115,18077,1803,943,1985-1993,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,n,d
209,"  that was run by a Mr , I remember Mr  because he was also the sports master as well. So each class had mixed ability groups  mixed ability   Oh yes, yes yes, oh yes, it was just d if you was if you was behind then it was just too bad. Because erm even going back to ",those ,days ,it ,was ,the ,"bright ones that were pushed forward and the the sort of dog take the hinder most sort of thing you know. And erm I think I was in the middle somewhere, I wasn't er brilliant but I must have been somewhere in the middle I suppose. I I can't complain, I had a reasonable ",c,"(Assuming the speaker is confident in their memory, it can be regarded as a fact about their school history. It's not something that the addressee is expected to argue about - unless they also attended that school. The only information that is highlighted here is the fact that it was 'always' like that.)",act.giv,fact,canonical,NP,FY5,Nottingham Oral History Project: interview. Sample containing about 17786 words speech recorded in leisure context,17892,20115,18077,1803,943,1985-1993,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
212,"  mark. So what, elder children had res had quite a bit of responsibility  ? Oh very much so, very much so. Very much so. Very much so. In fact my own wife, she came of a big family and and she had to look after most of the the younger children until they started work you see ",and ,then ,it ,was ,the ,"next one that had to look after them again you see and so on, and that's how it went on. But erm er the school days I think were were really the best days of our lives, but they we were the happiest days anyway because I enjoyed them and most kids enjoyed school in ",c,"(The focus is kind of new, but the relative clause repeats the previous situation. The statement as a whole is partly new, but also predictable from the preceding context, and in that respect arguably no IP. There also doesn't seem to be a good reason to doubt the factuality of the story (or the likelihood that its claimed factuality will be contested).)",act.giv,fact,canonical,NP,FY5,Nottingham Oral History Project: interview. Sample containing about 17786 words speech recorded in leisure context,17892,20115,18077,1803,943,1985-1993,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
225,"  I mean maybe maybe not to the good of the participants. Er there were a couple of times when the police were called and actually turned up, and and what people believed would have been a minor fight, then developed into a you know a major skirmish. Involving you know just eight or nine ",people. ,And ,it ,was ,that ,"kind of debate that that went on the last few years. How do you police erm an area sensitively. Erm  the debate still goes on. When they shut the , the the debate sort of shifted to outside the law centre. Funnily enough. Because the  was er was a well known hive of erm less than pleasant ",c,(This is a predicational cleft: the kind of debate that was going on was 'that kind of debate'.),inact.giv,un,other,NP,FY7,Nottingham Oral History Project: interview. Sample containing about 7583 words speech recorded in leisure context,7701,8720,7781,849,570,1985-1993,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,u,d
226,"  er you know, we had an understanding that if erm because there were times when we wanted to just have some time together, or to pray together, and erm you know people who did come in and out to the flats, we erm told them that if th we were in and we didn't answer ",the ,"door, ",it ,was ,actually ,"because we were either doing something that we couldn't come. And er the people just accepted that, and they didn't keep them from coming, because at most of the time, er the  Mhm. house would be open, even late at night or erm you know, early in the morning if necessary, people could come. ",c,"(The reason given is a lie, and so intentionally a non-fact, but of course, as far as the audience is concerned (which is not the addresse here, but the imaginary people at the door), it's a fact. However, the retelling here is not about convincing the addresee of the truth of the lie, but simply telling what they did and why they did it, so from that perspective it's about facts. So it's complicated, and so, yes, 'unclear' seems like a fair categorization.)",part.giv,un,canonical,clause,FY8,Nottingham Oral History Project: interview. Sample containing about 12735 words speech recorded in leisure context,12863,14578,13018,1426,953,1985-1993,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,e,n,d
231," , either the deck level or the ground floor flats, because of the noise that that made. And there was no soft play area, at all for children. Until the the play centre was actually opened and that was towards the end of the life of the flats really. Mhm. Erm you know, Yeah why Why was ",it ,that ,it ,was ,towards ,"the end when things were that there was finally a play centre set up ra rather than actually erm in the earlier days? Have you any idea or not? Well I think it was just because of the the people who put the pressure on at that time, perhaps people who'd been in the tenants ",c,"(It's a fact embedded into a question asking for the reason of the lateness. It repeats the statement by the other speaker in the one but previous turn - this is arguably act.given, because the in-between turn doesn't really contain any new information (A. Mhm - B. you know). The question opinionates the situation (suggesting that there should have been a play centre earlier on), but doesn't change the fact into an opinion itself.)",act.giv,fact,canonical,adv,FY8,Nottingham Oral History Project: interview. Sample containing about 12735 words speech recorded in leisure context,12863,14578,13018,1426,953,1985-1993,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
290,"  that went  down went the bomb drop bars with it  used to be  make them day and night  and things like that and er of course there was er Bloxwich Lock and Stamping we used to do odd stamping, odd forgings and things li and er that was other part of the war work. But it ",was ,"then, ",it ,was ,from ,"er  shop floor  that I  that the, when the  call went out for volunteers for, for the armed forces which initially was called Land Defence Volunteers, L D V, which eventually was broken down to   look, duck and vanish   army. That was before it was nominated as the, the Home Guard, that's what it originally ",c,"(though imperfect one, as that that-relativizer is tentatively replaced by a new start with a when adverbial)",part.giv,un,ambiguous,adv,F8P,[Walsall Local History Centre: talk about Home Guard]. Sample containing about 7960 words speech recorded in leisure context,8113,8925,8162,725,244,1985-1993,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,n,u,n
315," amily of six living in one room, the house was a four roomed house plus a scullery. Each room was occupied by a separate family, there was one cold water tap for the whole of the four families and one outside toilet. Conditions such as those were quite common to many thousands of people and ",I ,think ,it ,was ,those ,conditions which helped to formulate and develop my political thinking. When I was eighteen I came in contact with the Catholic Crusade which was a rather left wing Christian Socialist Organization and I found that their attitude to problems contained the answers for which I had been searching for a good many years  tell ,c,"(the cleft is hedged by 'I think', which undoes the 'frame an opinion as a fact' effect of the cleft, by turning the statement explicitly into an opinion again. In that sense, it probably needs to be discarded as a 'pure' case of IP.)",new,nonfact,IP,NP,F82,[Harlow Study Centre: interview]. Sample containing about 5346 words speech recorded in leisure context,5400,5883,5450,431,166,1985-1993,spoken_context,leisure,---,---,---,monologue,south,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,,
321," e to see uniformity, I see no earthly reason why some people because they have a lower income should be compelled to live in inferior and perhaps crowded conditions, whereas the man with five or six or seven times their income can choose a larger house in a much more delightful district and ",I ,think ,it ,is ,things ,"like that that make the difference between what I as a young socialist agitator was advocating and what we find today. I find too that circumstances compel a socialist Council like Harlow to be constrained and constricted when building, there are too many laws and regulations which are based on the fact that, for inst",c,"(the cleft is hedged by 'I think', which undoes the 'frame an opinion as a fact' effect of the cleft, by turning the statement explicitly into an opinion again. In that sense, it probably needs to be discarded as a 'pure' case of IP.)",new,nonfact,IP,NP,F82,[Harlow Study Centre: interview]. Sample containing about 5346 words speech recorded in leisure context,5400,5883,5450,431,166,1985-1993,spoken_context,leisure,---,---,---,monologue,south,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,,
344,"  on to? Aha. There was no road there, there then. Mhm. The, the road to  was what they call the old military road. And all the roads converged in it you see, well you see here, you'll see where it says here road from  by  to . Mhm. You see there was no road up through  ","then, ",Mhm. ,it ,was ,just ,after that that they built it. Mhm. You see and that al old aunt that I told you about  she always referred this road through  as the new road. Mhm. And of course it was the old military road that Is that the old military road that's No no no it's away  it's ,c,EMPTY,part.giv,fact,canonical,adv,GYT,Oral history project: interview. Sample containing about 4496 words speech recorded in leisure context,4545,5529,4575,796,504,1985-1993,spoken_context,leisure,---,---,---,monologue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,,
354," ing gear or whatever it might have been, er they were all itemized and reduced to part pieces, and it was much easier to look, examine and find out what sizes were required than, you know, three dimensional er drawings. So it was, really everybody was brought into this. Er the only thing is ",that ,er ,it ,was ,the ,"people on the workshop floor that were paid from it er rather than the er planning er personnel or indeed the drawing office. Who came    in at a much later stage by the way, and presented a claim for the management you know, that they were now part of the, the whole scheme. Did you not ",c,"(payment as such had not been mentioned, but the complexity of the division of labour had, so the relative clause is not entirely new.)",part.giv,fact,canonical,NP,GYV,"Oral history project, Scotland: interview. Sample containing about 12200 words speech recorded in leisure context",12126,13588,12321,1212,428,1985-1993,spoken_context,leisure,---,---,---,monologue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,,
357," aterials, from the store to the individuals concerned. Erm and it became too much for them because people were working more efficient, and therefore there was a an increase in the productivity level, and so they had to increase the number of foremen and chargehands, which wasn't a bad ",thing ,because ,it ,was ,always ,our members that got made up to these respective er positions. Sometimes you lost a shop steward erm notwithstanding sometimes if the work study department needed a er an extra man er you would lose a shop steward. Mainly because the stewards had become involved in the incentive er scheme working er and had the best ,c,EMPTY,new,fact,IP,NP,GYV,"Oral history project, Scotland: interview. Sample containing about 12200 words speech recorded in leisure context",12126,13588,12321,1212,428,1985-1993,spoken_context,leisure,---,---,---,monologue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,,
